_date,total_clones,unique_clones
2022-03-16,2,1
2022-03-20,70,5
2022-03-21,1,1
2022-03-28,2,2
2022-04-04,1,1
2022-04-11,1,1
2022-04-16,1,1
2022-04-18,2,2
2022-04-25,1,1
2022-04-27,1,1
2022-05-02,1,1
2022-05-09,1,1
2022-05-16,1,1
2022-05-21,2,1
2022-05-23,2,2
2022-05-30,1,1
2022-06-02,2,1
2022-06-06,1,1
2022-06-13,2,1
2022-06-20,1,1
2022-06-25,1,1
2022-06-26,2,1
2022-06-27,3,1
2022-06-29,5,3
2022-07-04,1,1
2022-07-05,2,1
2022-07-11,1,1
2022-07-13,2,1
2022-07-18,1,1
2022-07-21,1,1
2022-07-22,2,1
2022-07-25,1,1
2022-07-29,1,1
2022-07-31,2,1
2022-08-01,2,2
2022-08-08,1,1
2022-08-09,2,1
2022-08-15,1,1
2022-08-19,2,1
2022-08-22,1,1
2022-08-29,1,1
2022-08-30,2,1
2022-09-05,1,1
2022-09-12,1,1
2022-09-13,2,1
2022-09-19,2,2
2022-09-24,1,1
2022-09-26,1,1
2022-10-03,1,1
2022-10-04,1,1
2022-10-10,1,1
2022-10-16,1,1
2022-10-17,1,1
2022-10-18,1,1
2022-10-19,1,1
2022-10-22,1,1
2022-10-24,1,1
2022-10-28,1,1
2022-10-31,1,1
2022-11-05,1,1
2022-11-07,1,1
2022-11-11,1,1
2022-11-14,2,2
2022-11-16,2,1
2022-11-18,2,2
2022-11-21,2,2
2022-11-23,2,1
2022-11-25,1,1
2022-11-28,1,1
2022-12-02,1,1
2022-12-05,1,1
2022-12-07,2,1
2022-12-09,2,2
2022-12-12,1,1
2022-12-16,1,1
2022-12-19,2,1
2022-12-24,1,1
2023-01-01,1,1
2023-01-02,1,1
2023-01-03,6,3
2023-01-04,4,2
2023-01-05,6,2
2023-01-08,1,1
2023-01-09,1,1
2023-01-11,1,1
2023-01-15,1,1
2023-01-16,2,2
2023-01-20,1,1
2023-01-22,1,1
2023-01-29,1,1
2023-01-30,2,2
2023-02-05,1,1
2023-02-13,2,2
2023-02-15,1,1
2023-02-20,1,1
2023-02-21,1,1
2023-02-27,1,1
2023-03-01,1,1
2023-03-02,5,3
2023-03-06,2,2
2023-03-09,1,1
2023-03-13,4,2
2023-03-19,1,1
2023-03-20,1,1
2023-03-21,1,1
2023-03-27,3,2
2023-03-28,2,1
2023-03-31,2,1
2023-04-03,1,1
2023-04-10,1,1
2023-04-11,2,1
2023-04-15,1,1
2023-04-17,1,1
2023-04-22,1,1
2023-04-23,1,1
2023-04-24,2,1
2023-05-01,3,2
2023-05-04,1,1
2023-05-08,2,1
2023-05-15,3,2
2023-05-17,1,1
2023-05-20,4,2
2023-05-21,2,1
2023-05-22,1,1
2023-05-24,17,5
2023-05-28,1,1
2023-05-29,1,1
2023-05-30,3,2
2023-06-01,7,5
2023-06-02,5,3
2023-06-03,10,4
2023-06-05,34,10
2023-06-06,9,5
2023-06-07,6,2
2023-06-12,1,1
2023-06-19,1,1
2023-06-21,2,1
2023-06-22,1,1
2023-06-24,5,3
2023-06-25,10,4
2023-06-26,1,1
2023-06-29,1,1
2023-06-30,1,1
2023-07-03,3,2
2023-07-10,25,7
2023-07-13,1,1
2023-07-17,1,1
2023-07-24,3,2
2023-07-28,4,3
2023-07-30,1,1
2023-07-31,1,1
2023-08-06,1,1
2023-08-07,3,2
2023-08-08,3,2
2023-08-14,1,1
2023-08-16,1,1
2023-08-17,2,1
2023-08-21,3,2
2023-08-23,1,1
2023-08-28,1,1
2023-08-29,1,1
2023-08-30,2,1
2023-09-01,1,1
2023-09-03,1,1
2023-09-04,3,2
2023-09-11,8,5
2023-09-12,1,1
2023-09-13,2,2
2023-09-15,3,2
2023-09-16,2,2
2023-09-17,1,1
2023-09-18,1,1
2023-09-20,1,1
2023-09-25,3,2
2023-10-02,1,1
2023-10-05,2,1
2023-10-06,1,1
2023-10-09,2,1
2023-10-16,3,2
2023-10-23,2,2
2023-10-24,1,1
2023-10-30,1,1
2023-11-06,2,2
2023-11-13,1,1
2023-11-20,2,2
2023-11-27,3,3
2023-12-04,1,1
2023-12-10,1,1
2023-12-11,1,1
2023-12-18,1,1
2023-12-20,1,1
2023-12-25,2,2
2023-12-30,2,1
2024-01-01,1,1
2024-01-05,1,1
2024-01-08,2,2
2024-01-10,1,1
2024-01-12,1,1
2024-01-13,1,1
2024-01-14,1,1
2024-01-15,1,1
2024-01-22,2,2
2024-01-23,1,1
