_date,total_views,unique_views
2022-03-19,1,1
2022-03-20,27,1
2022-03-21,5,1
2022-03-24,1,1
2022-04-07,10,1
2022-04-09,13,1
2022-04-11,1,1
2022-04-13,1,1
2022-04-15,1,1
2022-04-17,1,1
2022-05-01,1,1
2022-05-06,1,1
2022-05-08,1,1
2022-06-03,2,1
2022-06-19,1,1
2022-08-14,2,1
2022-10-14,1,1
2022-11-29,2,1
2022-11-30,2,1
2022-12-14,2,1
2022-12-19,8,1
2023-01-02,5,1
2023-01-28,2,1
2023-02-17,2,1
2023-03-09,1,1
2023-04-17,1,1
2023-04-25,1,1
2023-04-26,2,1
2023-05-19,1,1
2023-05-24,6,1
2023-05-25,1,1
2023-05-30,1,1
2023-07-11,1,1
2023-07-12,2,1
2023-07-19,4,1
2023-09-05,2,1
2023-09-13,7,1
2023-09-14,13,1
2023-09-15,2,1
2023-10-02,2,1
2023-10-12,1,1
2023-11-03,1,1
2023-11-09,1,1
2023-11-10,1,1
2023-11-22,1,1
2024-01-06,1,1
2024-01-07,1,1
2024-01-25,1,1
2024-03-20,2,1
2024-07-10,1,1
2025-01-17,1,1
2025-03-15,15,1
2025-04-05,1,1
2025-05-12,6,1
2025-07-19,1,1
2025-11-05,1,1
2025-12-24,1,1
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
2026-01-16,0,0
2026-01-17,0,0
2026-01-18,0,0
2026-01-19,0,0
2026-01-20,0,0
2026-01-21,0,0
2026-01-22,0,0
2026-01-23,0,0
2026-01-24,0,0
2026-01-25,0,0
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,0,0
2026-01-29,0,0
2026-01-30,0,0
2026-01-31,0,0
2026-02-01,0,0
2026-02-02,0,0
2026-02-03,0,0
2026-02-04,0,0
2026-02-05,0,0
2026-02-06,0,0
2026-02-07,0,0
2026-02-08,0,0
2026-02-09,0,0
2026-02-10,0,0
2026-02-11,0,0
2026-02-12,0,0
2026-02-13,0,0
2026-02-14,0,0
2026-02-15,0,0
2026-02-16,0,0
2026-02-17,0,0
2026-02-18,0,0
2026-02-19,0,0
2026-02-20,0,0
2026-02-21,0,0
2026-02-22,0,0
2026-02-23,0,0
2026-02-24,0,0
2026-02-25,0,0
2026-02-26,0,0
2026-02-27,0,0
2026-02-28,0,0
